,I2HospitalRate_range,E2Irate_range,I2Rrate_range,delay_from_hospital_to_I_range,Beta_coeff_summer_range,winter_coeff_range,Beta_coeff_manual_setting_range,indFirstValidRow_range,indFirstAvailData_range,indLastAvailData_range,indLastValidRow_range,lower___for_sample_weights_range,upper___for_sample_weights_range,N0_range,S0_range,x0_range,n0_range,epsil_range
114,0.09,0.16666666666666666,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,30
115,0.09,0.16666666666666666,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,40
116,0.09,0.16666666666666666,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,30
117,0.09,0.16666666666666666,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,40
118,0.09,0.16666666666666666,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,30
119,0.09,0.16666666666666666,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,40
120,0.09,0.16666666666666666,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,30
121,0.09,0.16666666666666666,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,40
122,0.09,0.16666666666666666,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,30
123,0.09,0.16666666666666666,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,40
124,0.09,0.16666666666666666,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,30
125,0.09,0.16666666666666666,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,40
126,0.09,0.14285714285714285,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,30
127,0.09,0.14285714285714285,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,40
128,0.09,0.14285714285714285,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,30
129,0.09,0.14285714285714285,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,40
130,0.09,0.14285714285714285,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,30
131,0.09,0.14285714285714285,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,40
132,0.09,0.14285714285714285,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,30
133,0.09,0.14285714285714285,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,40
134,0.09,0.14285714285714285,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,30
135,0.09,0.14285714285714285,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,40
136,0.09,0.14285714285714285,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,30
137,0.09,0.14285714285714285,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,40
138,0.09,0.14285714285714285,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,30
139,0.09,0.14285714285714285,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,40
140,0.09,0.14285714285714285,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,30
141,0.09,0.14285714285714285,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,40
142,0.09,0.14285714285714285,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,30
143,0.09,0.14285714285714285,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,40
144,0.09,0.1111111111111111,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,30
145,0.09,0.1111111111111111,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,40
146,0.09,0.1111111111111111,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,30
147,0.09,0.1111111111111111,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,40
148,0.09,0.1111111111111111,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,30
149,0.09,0.1111111111111111,0.11,4,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,40
150,0.09,0.1111111111111111,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,30
151,0.09,0.1111111111111111,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,40
152,0.09,0.1111111111111111,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,30
153,0.09,0.1111111111111111,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,40
154,0.09,0.1111111111111111,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,30
155,0.09,0.1111111111111111,0.11,9,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,40
156,0.09,0.1111111111111111,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,30
157,0.09,0.1111111111111111,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.6,40
158,0.09,0.1111111111111111,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,30
159,0.09,0.1111111111111111,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.8,40
160,0.09,0.1111111111111111,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,30
161,0.09,0.1111111111111111,0.11,16,0.15,0.7,0.55,28,60,100,321,1,100,29000000,29000000,0.7,0.9,40
